entity_id,entity_type,name,normalized_name,aliases,source_record,confidence,properties
L001,LOCATION,Abids,abids,Abids,LOCATION-REG-001,0.95,"{""category"": ""zone-1""}"
L002,LOCATION,Ameerpet,ameerpet,Ameerpet,LOCATION-REG-002,0.95,"{""category"": ""zone-2""}"
L003,LOCATION,Banjara Hills,banjara hills,Banjara Hills,LOCATION-REG-003,0.95,"{""category"": ""zone-3""}"
L004,LOCATION,Begumpet,begumpet,Begumpet,LOCATION-REG-004,0.95,"{""category"": ""zone-4""}"
L005,LOCATION,Boduppal,boduppal,Boduppal,LOCATION-REG-005,0.95,"{""category"": ""zone-1""}"
L006,LOCATION,Dilsukhnagar,dilsukhnagar,Dilsukhnagar,LOCATION-REG-006,0.95,"{""category"": ""zone-2""}"
L007,LOCATION,Habsiguda,habsiguda,Habsiguda,LOCATION-REG-007,0.95,"{""category"": ""zone-3""}"
L008,LOCATION,Himayatnagar,himayatnagar,Himayatnagar,LOCATION-REG-008,0.95,"{""category"": ""zone-4""}"
L009,LOCATION,Jubilee Hills,jubilee hills,Jubilee Hills,LOCATION-REG-009,0.95,"{""category"": ""zone-1""}"
L010,LOCATION,Koti,koti,Koti,LOCATION-REG-010,0.95,"{""category"": ""zone-2""}"
L011,LOCATION,Kukatpally,kukatpally,Kukatpally,LOCATION-REG-011,0.95,"{""category"": ""zone-3""}"
L012,LOCATION,Malkajgiri,malkajgiri,Malkajgiri,LOCATION-REG-012,0.95,"{""category"": ""zone-4""}"
L013,LOCATION,Mehdipatnam,mehdipatnam,Mehdipatnam,LOCATION-REG-013,0.95,"{""category"": ""zone-1""}"
L014,LOCATION,Nacharam,nacharam,Nacharam,LOCATION-REG-014,0.95,"{""category"": ""zone-2""}"
L015,LOCATION,Nagole,nagole,Nagole,LOCATION-REG-015,0.95,"{""category"": ""zone-3""}"
L016,LOCATION,Nallakunta,nallakunta,Nallakunta,LOCATION-REG-016,0.95,"{""category"": ""zone-4""}"
L017,LOCATION,Pocharam,pocharam,Pocharam,LOCATION-REG-017,0.95,"{""category"": ""zone-1""}"
L018,LOCATION,Saroornagar,saroornagar,Saroornagar,LOCATION-REG-018,0.95,"{""category"": ""zone-2""}"
L019,LOCATION,Secunderabad,secunderabad,Secunderabad,LOCATION-REG-019,0.95,"{""category"": ""zone-3""}"
L020,LOCATION,Miyapur,miyapur,Miyapur,LOCATION-REG-020,0.95,"{""category"": ""zone-4""}"
L021,LOCATION,Tolichowki,tolichowki,Tolichowki,LOCATION-REG-021,0.95,"{""category"": ""zone-1""}"
L022,LOCATION,Kompally,kompally,Kompally,LOCATION-REG-022,0.95,"{""category"": ""zone-2""}"
L023,LOCATION,Uppal,uppal,Uppal,LOCATION-REG-023,0.95,"{""category"": ""zone-3""}"
L024,LOCATION,Manikonda,manikonda,Manikonda,LOCATION-REG-024,0.95,"{""category"": ""zone-4""}"
ORG001,ORGANIZATION,Alpha Logistics,alpha logistics,Alpha Logistics,ORG-REG-001,0.95,{}
ORG002,ORGANIZATION,Beta Technologies,beta technologies,Beta Technologies,ORG-REG-002,0.95,{}
ORG003,ORGANIZATION,Delta Services,delta services,Delta Services,ORG-REG-003,0.95,{}
ORG004,ORGANIZATION,Epsilon Finance,epsilon finance,Epsilon Finance,ORG-REG-004,0.95,{}
ORG005,ORGANIZATION,Gamma Transport,gamma transport,Gamma Transport,ORG-REG-005,0.95,{}
ORG101,ORGANIZATION,Vertex Traders,vertex traders,Vertex Traders,ORG-REG-006,0.95,{}
ORG102,ORGANIZATION,Orion Security,orion security,Orion Security,ORG-REG-007,0.95,{}
P001,PERSON,Aditya Rao,aditya rao,Aditya Rao,PERSON-REG-001,0.95,"{""occupation"": ""analyst""}"
P002,PERSON,Anil Sharma,anil sharma,Anil Sharma,PERSON-REG-002,0.95,"{""occupation"": ""trader""}"
P003,PERSON,Arjun Mehta,arjun mehta,Arjun Mehta,PERSON-REG-003,0.95,"{""occupation"": ""technician""}"
P004,PERSON,Asha Nair,asha nair,Asha Nair,PERSON-REG-004,0.95,"{""occupation"": ""analyst""}"
P005,PERSON,Divya Reddy,divya reddy,Divya Reddy,PERSON-REG-005,0.95,"{""occupation"": ""trader""}"
P006,PERSON,Harish Patel,harish patel,Harish Patel,PERSON-REG-006,0.95,"{""occupation"": ""technician""}"
P007,PERSON,Kavya Sharma,kavya sharma,Kavya Sharma,PERSON-REG-007,0.95,"{""occupation"": ""analyst""}"
P008,PERSON,Kiran Reddy,kiran reddy,Kiran Reddy,PERSON-REG-008,0.95,"{""occupation"": ""trader""}"
P009,PERSON,Lakshmi Rao,lakshmi rao,Lakshmi Rao,PERSON-REG-009,0.95,"{""occupation"": ""technician""}"
P010,PERSON,Manoj Kumar,manoj kumar,Manoj Kumar,PERSON-REG-010,0.95,"{""occupation"": ""analyst""}"
P011,PERSON,Meena Patel,meena patel,Meena Patel,PERSON-REG-011,0.95,"{""occupation"": ""trader""}"
P012,PERSON,Neha Singh,neha singh,Neha Singh,PERSON-REG-012,0.95,"{""occupation"": ""technician""}"
P013,PERSON,Nikhil Kumar,nikhil kumar,Nikhil Kumar,PERSON-REG-013,0.95,"{""occupation"": ""analyst""}"
P014,PERSON,Pooja Sharma,pooja sharma,Pooja Sharma,PERSON-REG-014,0.95,"{""occupation"": ""trader""}"
P015,PERSON,Priya Reddy,priya reddy,Priya Reddy,PERSON-REG-015,0.95,"{""occupation"": ""technician""}"
P016,PERSON,Rahul Verma,rahul verma,Rahul Verma,PERSON-REG-016,0.95,"{""occupation"": ""analyst""}"
P017,PERSON,Ravi Kumar,ravi kumar,Ravi Kumar,PERSON-REG-017,0.95,"{""occupation"": ""trader""}"
P018,PERSON,Rohit Gupta,rohit gupta,Rohit Gupta,PERSON-REG-018,0.95,"{""occupation"": ""technician""}"
P019,PERSON,Sanjay Verma,sanjay verma,Sanjay Verma,PERSON-REG-019,0.95,"{""occupation"": ""analyst""}"
P020,PERSON,Sneha Rao,sneha rao,Sneha Rao,PERSON-REG-020,0.95,"{""occupation"": ""trader""}"
P021,PERSON,Suresh Rao,suresh rao,Suresh Rao,PERSON-REG-021,0.95,"{""occupation"": ""technician""}"
P022,PERSON,Swati Verma,swati verma,Swati Verma,PERSON-REG-022,0.95,"{""occupation"": ""analyst""}"
P023,PERSON,Varun Reddy,varun reddy,Varun Reddy,PERSON-REG-023,0.95,"{""occupation"": ""trader""}"
P024,PERSON,Vikram Singh,vikram singh,Vikram Singh,PERSON-REG-024,0.95,"{""occupation"": ""technician""}"
P101,PERSON,Ishaan Joshi,ishaan joshi,Ishaan Joshi,PERSON-REG-025,0.95,"{""occupation"": ""analyst""}"
P102,PERSON,Madhavi Rao,madhavi rao,Madhavi Rao,PERSON-REG-026,0.95,"{""occupation"": ""trader""}"
P103,PERSON,Naveen Das,naveen das,Naveen Das,PERSON-REG-027,0.95,"{""occupation"": ""technician""}"
P104,PERSON,Ritu Malhotra,ritu malhotra,Ritu Malhotra,PERSON-REG-028,0.95,"{""occupation"": ""analyst""}"
P105,PERSON,Sameer Khan,sameer khan,Sameer Khan,PERSON-REG-029,0.95,"{""occupation"": ""trader""}"
P106,PERSON,Tanya Bose,tanya bose,Tanya Bose,PERSON-REG-030,0.95,"{""occupation"": ""technician""}"
PH001,PHONE,9000000001,9000000001,9000000001,CONTACT-REG-001,0.95,"{""contact_type"": ""personal""}"
PH002,PHONE,9000000002,9000000002,9000000002,CONTACT-REG-002,0.95,"{""contact_type"": ""business""}"
PH003,PHONE,9000000003,9000000003,9000000003,CONTACT-REG-003,0.95,"{""contact_type"": ""personal""}"
PH004,PHONE,9000000004,9000000004,9000000004,CONTACT-REG-004,0.95,"{""contact_type"": ""business""}"
PH005,PHONE,9000000005,9000000005,9000000005,CONTACT-REG-005,0.95,"{""contact_type"": ""personal""}"
PH006,PHONE,9000000006,9000000006,9000000006,CONTACT-REG-006,0.95,"{""contact_type"": ""business""}"
PH007,PHONE,9000000007,9000000007,9000000007,CONTACT-REG-007,0.95,"{""contact_type"": ""personal""}"
PH008,PHONE,9000000008,9000000008,9000000008,CONTACT-REG-008,0.95,"{""contact_type"": ""business""}"
PH009,PHONE,9000000009,9000000009,9000000009,CONTACT-REG-009,0.95,"{""contact_type"": ""personal""}"
PH010,PHONE,9000000010,9000000010,9000000010,CONTACT-REG-010,0.95,"{""contact_type"": ""business""}"
PH011,PHONE,9000000011,9000000011,9000000011,CONTACT-REG-011,0.95,"{""contact_type"": ""personal""}"
PH012,PHONE,9000000012,9000000012,9000000012,CONTACT-REG-012,0.95,"{""contact_type"": ""business""}"
PH013,PHONE,9000000013,9000000013,9000000013,CONTACT-REG-013,0.95,"{""contact_type"": ""personal""}"
PH014,PHONE,9000000014,9000000014,9000000014,CONTACT-REG-014,0.95,"{""contact_type"": ""business""}"
PH015,PHONE,9000000015,9000000015,9000000015,CONTACT-REG-015,0.95,"{""contact_type"": ""personal""}"
PH016,PHONE,9000000016,9000000016,9000000016,CONTACT-REG-016,0.95,"{""contact_type"": ""business""}"
PH017,PHONE,9000000017,9000000017,9000000017,CONTACT-REG-017,0.95,"{""contact_type"": ""personal""}"
PH018,PHONE,9000000018,9000000018,9000000018,CONTACT-REG-018,0.95,"{""contact_type"": ""business""}"
PH019,PHONE,9000000019,9000000019,9000000019,CONTACT-REG-019,0.95,"{""contact_type"": ""personal""}"
PH020,PHONE,9000000020,9000000020,9000000020,CONTACT-REG-020,0.95,"{""contact_type"": ""business""}"
PH021,PHONE,9000000021,9000000021,9000000021,CONTACT-REG-021,0.95,"{""contact_type"": ""personal""}"
PH022,PHONE,9000000022,9000000022,9000000022,CONTACT-REG-022,0.95,"{""contact_type"": ""business""}"
PH023,PHONE,9000000023,9000000023,9000000023,CONTACT-REG-023,0.95,"{""contact_type"": ""personal""}"
V001,VEHICLE,Honda Activa,honda activa,Honda Activa,VEHICLE-REG-001,0.95,"{""model"": ""Honda Activa""}"
V002,VEHICLE,Honda City,honda city,Honda City,VEHICLE-REG-002,0.95,"{""model"": ""Honda City""}"
V003,VEHICLE,Hyundai Creta,hyundai creta,Hyundai Creta,VEHICLE-REG-003,0.95,"{""model"": ""Hyundai Creta""}"
V004,VEHICLE,Hyundai Venue,hyundai venue,Hyundai Venue,VEHICLE-REG-004,0.95,"{""model"": ""Hyundai Venue""}"
V005,VEHICLE,Hyundai i20,hyundai i20,Hyundai i20,VEHICLE-REG-005,0.95,"{""model"": ""Hyundai i20""}"
V006,VEHICLE,Maruti Baleno,maruti baleno,Maruti Baleno,VEHICLE-REG-006,0.95,"{""model"": ""Maruti Baleno""}"
V007,VEHICLE,Maruti Swift,maruti swift,Maruti Swift,VEHICLE-REG-007,0.95,"{""model"": ""Maruti Swift""}"
V008,VEHICLE,Swift,swift,Swift,VEHICLE-REG-008,0.95,"{""model"": ""Swift""}"
V009,VEHICLE,Tata Altroz,tata altroz,Tata Altroz,VEHICLE-REG-009,0.95,"{""model"": ""Tata Altroz""}"
V010,VEHICLE,Tata Nexon,tata nexon,Tata Nexon,VEHICLE-REG-010,0.95,"{""model"": ""Tata Nexon""}"
V101,VEHICLE,Kia Seltos,kia seltos,Kia Seltos,VEHICLE-REG-011,0.95,"{""model"": ""Kia Seltos""}"
V102,VEHICLE,Toyota Glanza,toyota glanza,Toyota Glanza,VEHICLE-REG-012,0.95,"{""model"": ""Toyota Glanza""}"
V103,VEHICLE,Mahindra XUV300,mahindra xuv300,Mahindra XUV300,VEHICLE-REG-013,0.95,"{""model"": ""Mahindra XUV300""}"
BA001,BANK_ACCOUNT,100000000001,100000000001,100000000001,FIN-REG-001,0.95,"{""account_type"": ""savings""}"
BA002,BANK_ACCOUNT,100000000002,100000000002,100000000002,FIN-REG-002,0.95,"{""account_type"": ""current""}"
BA003,BANK_ACCOUNT,100000000003,100000000003,100000000003,FIN-REG-003,0.95,"{""account_type"": ""savings""}"
BA004,BANK_ACCOUNT,100000000004,100000000004,100000000004,FIN-REG-004,0.95,"{""account_type"": ""current""}"
BA005,BANK_ACCOUNT,100000000005,100000000005,100000000005,FIN-REG-005,0.95,"{""account_type"": ""savings""}"
BA006,BANK_ACCOUNT,100000000006,100000000006,100000000006,FIN-REG-006,0.95,"{""account_type"": ""current""}"
BA007,BANK_ACCOUNT,100000000007,100000000007,100000000007,FIN-REG-007,0.95,"{""account_type"": ""savings""}"
BA008,BANK_ACCOUNT,100000000008,100000000008,100000000008,FIN-REG-008,0.95,"{""account_type"": ""current""}"
BA009,BANK_ACCOUNT,100000000009,100000000009,100000000009,FIN-REG-009,0.95,"{""account_type"": ""savings""}"
BA010,BANK_ACCOUNT,100000000010,100000000010,100000000010,FIN-REG-010,0.95,"{""account_type"": ""current""}"
BA011,BANK_ACCOUNT,100000000011,100000000011,100000000011,FIN-REG-011,0.95,"{""account_type"": ""savings""}"
BA012,BANK_ACCOUNT,100000000012,100000000012,100000000012,FIN-REG-012,0.95,"{""account_type"": ""current""}"
BA013,BANK_ACCOUNT,100000000013,100000000013,100000000013,FIN-REG-013,0.95,"{""account_type"": ""savings""}"
BA014,BANK_ACCOUNT,100000000014,100000000014,100000000014,FIN-REG-014,0.95,"{""account_type"": ""current""}"
BA015,BANK_ACCOUNT,100000000015,100000000015,100000000015,FIN-REG-015,0.95,"{""account_type"": ""savings""}"
BA016,BANK_ACCOUNT,100000000016,100000000016,100000000016,FIN-REG-016,0.95,"{""account_type"": ""current""}"
BA017,BANK_ACCOUNT,100000000017,100000000017,100000000017,FIN-REG-017,0.95,"{""account_type"": ""savings""}"
C001,CASE,CASE-2026-001,case 2026 001,CASE-2026-001,CASE-REG-001,0.95,"{""crime_type"": ""Fraud""}"
C002,CASE,CASE-2026-002,case 2026 002,CASE-2026-002,CASE-REG-002,0.95,"{""crime_type"": ""Extortion""}"
C003,CASE,CASE-2026-003,case 2026 003,CASE-2026-003,CASE-REG-003,0.95,"{""crime_type"": ""Robbery""}"
C004,CASE,CASE-2026-004,case 2026 004,CASE-2026-004,CASE-REG-004,0.95,"{""crime_type"": ""Theft""}"
C005,CASE,CASE-2026-005,case 2026 005,CASE-2026-005,CASE-REG-005,0.95,"{""crime_type"": ""Fraud""}"
C006,CASE,CASE-2026-006,case 2026 006,CASE-2026-006,CASE-REG-006,0.95,"{""crime_type"": ""Extortion""}"
C007,CASE,CASE-2026-007,case 2026 007,CASE-2026-007,CASE-REG-007,0.95,"{""crime_type"": ""Robbery""}"
C008,CASE,CASE-2026-008,case 2026 008,CASE-2026-008,CASE-REG-008,0.95,"{""crime_type"": ""Theft""}"
C009,CASE,CASE-2026-009,case 2026 009,CASE-2026-009,CASE-REG-009,0.95,"{""crime_type"": ""Fraud""}"
C010,CASE,CASE-2026-010,case 2026 010,CASE-2026-010,CASE-REG-010,0.95,"{""crime_type"": ""Extortion""}"
C011,CASE,CASE-2026-011,case 2026 011,CASE-2026-011,CASE-REG-011,0.95,"{""crime_type"": ""Robbery""}"
C012,CASE,CASE-2026-012,case 2026 012,CASE-2026-012,CASE-REG-012,0.95,"{""crime_type"": ""Theft""}"
C013,CASE,CASE-2026-013,case 2026 013,CASE-2026-013,CASE-REG-013,0.95,"{""crime_type"": ""Fraud""}"
C014,CASE,CASE-2026-014,case 2026 014,CASE-2026-014,CASE-REG-014,0.95,"{""crime_type"": ""Extortion""}"
C015,CASE,CASE-2026-015,case 2026 015,CASE-2026-015,CASE-REG-015,0.95,"{""crime_type"": ""Robbery""}"
C016,CASE,CASE-2026-016,case 2026 016,CASE-2026-016,CASE-REG-016,0.95,"{""crime_type"": ""Theft""}"
C017,CASE,CASE-2026-017,case 2026 017,CASE-2026-017,CASE-REG-017,0.95,"{""crime_type"": ""Fraud""}"
C018,CASE,CASE-2026-018,case 2026 018,CASE-2026-018,CASE-REG-018,0.95,"{""crime_type"": ""Extortion""}"
