phone_id,phone_number,person_id,contact_type,source_record
PH001,9000000001,P001,personal,CONTACT-REG-001
PH002,9000000002,P002,business,CONTACT-REG-002
PH003,9000000003,P003,personal,CONTACT-REG-003
PH004,9000000004,P004,business,CONTACT-REG-004
PH005,9000000005,P005,personal,CONTACT-REG-005
PH006,9000000006,P006,business,CONTACT-REG-006
PH007,9000000007,P007,personal,CONTACT-REG-007
PH008,9000000008,P008,business,CONTACT-REG-008
PH009,9000000009,P009,personal,CONTACT-REG-009
PH010,9000000010,P010,business,CONTACT-REG-010
PH011,9000000011,P011,personal,CONTACT-REG-011
PH012,9000000012,P012,business,CONTACT-REG-012
PH013,9000000013,P013,personal,CONTACT-REG-013
PH014,9000000014,P014,business,CONTACT-REG-014
PH015,9000000015,P015,personal,CONTACT-REG-015
PH016,9000000016,P016,business,CONTACT-REG-016
PH017,9000000017,P017,personal,CONTACT-REG-017
PH018,9000000018,P018,business,CONTACT-REG-018
PH019,9000000019,P019,personal,CONTACT-REG-019
PH020,9000000020,P020,business,CONTACT-REG-020
PH021,9000000021,P021,personal,CONTACT-REG-021
PH022,9000000022,P022,business,CONTACT-REG-022
PH023,9000000023,P023,personal,CONTACT-REG-023
