account_id,account_number,account_holder_id,account_type,source_record
BA001,100000000001,P001,savings,FIN-REG-001
BA002,100000000002,P003,current,FIN-REG-002
BA003,100000000003,P005,savings,FIN-REG-003
BA004,100000000004,P007,current,FIN-REG-004
BA005,100000000005,P009,savings,FIN-REG-005
BA006,100000000006,P011,current,FIN-REG-006
BA007,100000000007,P013,savings,FIN-REG-007
BA008,100000000008,P015,current,FIN-REG-008
BA009,100000000009,P017,savings,FIN-REG-009
BA010,100000000010,P019,current,FIN-REG-010
BA011,100000000011,P021,savings,FIN-REG-011
BA012,100000000012,P023,current,FIN-REG-012
BA013,100000000013,P101,savings,FIN-REG-013
BA014,100000000014,P103,current,FIN-REG-014
BA015,100000000015,P105,savings,FIN-REG-015
BA016,100000000016,P001,current,FIN-REG-016
BA017,100000000017,P003,savings,FIN-REG-017
