entity_id,entity_type,name,normalized_name,aliases,source_record,confidence,properties
BA001,BANK_ACCOUNT,100000000001,100000000001,,C002;C022;C055,0.95,{}
BA002,BANK_ACCOUNT,100000000002,100000000002,,C006;C024;C056,0.95,{}
BA003,BANK_ACCOUNT,100000000003,100000000003,,C008;C049;C057,0.95,{}
BA004,BANK_ACCOUNT,100000000004,100000000004,,C010;C050;C058,0.95,{}
BA005,BANK_ACCOUNT,100000000005,100000000005,,C012;C051;C059,0.95,{}
BA006,BANK_ACCOUNT,100000000006,100000000006,,C014;C052;C060,0.95,{}
BA007,BANK_ACCOUNT,100000000007,100000000007,,C016;C053;C061,0.95,{}
BA008,BANK_ACCOUNT,100000000008,100000000008,,C019;C054;C062,0.95,{}
L001,LOCATION,Abids,abids,,C015;C037;C059,0.95,{}
L002,LOCATION,Ameerpet,ameerpet,,C008;C030;C052;C074,0.95,{}
L003,LOCATION,Banjara Hills,banjara hills,,C010;C032;C054;C076,0.95,{}
L004,LOCATION,Begumpet,begumpet,,C007;C029;C051;C073,0.95,{}
L005,LOCATION,Boduppal,boduppal,,C021;C043;C065,0.95,{}
L006,LOCATION,Dilsukhnagar,dilsukhnagar,,C017;C039;C061,0.95,{}
L007,LOCATION,Habsiguda,habsiguda,,C006;C028;C050;C072,0.95,{}
L008,LOCATION,Himayatnagar,himayatnagar,,C012;C034;C056;C078,0.95,{}
L009,LOCATION,Jubilee Hills,jubilee hills,,C011;C033;C055;C077,0.95,{}
L010,LOCATION,Koti,koti,,C014;C036;C058;C080,0.95,{}
L011,LOCATION,Kukatpally,kukatpally,,C009;C031;C053;C075,0.95,{}
L012,LOCATION,Malkajgiri,malkajgiri,,C003;C025;C047;C069,0.95,{}
L013,LOCATION,Mehdipatnam,mehdipatnam,,C016;C038;C060,0.95,{}
L014,LOCATION,Nacharam,nacharam,,C005;C027;C049;C071,0.95,{}
L015,LOCATION,Nagole,nagole,,C020;C042;C064,0.95,{}
L016,LOCATION,Nallakunta,nallakunta,,C013;C035;C057;C079,0.95,{}
L017,LOCATION,Pocharam,pocharam,,C022;C044;C066,0.95,{}
L018,LOCATION,Saroornagar,saroornagar,,C019;C041;C063,0.95,{}
L019,LOCATION,Secunderabad,secunderabad,,C001;C023;C045;C067,0.95,{}
ORG001,ORGANIZATION,Alpha Logistics,alpha logistics,,C001;C011;C019;C065;C070;C075;C080,0.95,{}
ORG002,ORGANIZATION,Beta Technologies,beta technologies,,C003;C013;C021;C066;C071;C076,0.95,{}
ORG003,ORGANIZATION,Delta Services,delta services,,C007;C016;C063;C068;C073;C078,0.95,{}
ORG004,ORGANIZATION,Epsilon Finance,epsilon finance,,C009;C018;C064;C069;C074;C079,0.95,{}
ORG005,ORGANIZATION,Gamma Transport,gamma transport,,C005;C015;C023;C067;C072;C077,0.95,{}
P001,PERSON,Aditya Rao,aditya rao,Aditya,C012;C013;C033;C036;C058;C059,0.95,{}
P002,PERSON,Anil Sharma,anil sharma,Anil,C002;C003;C025;C028;C050;C073;C074,0.95,{}
P003,PERSON,Arjun Mehta,arjun mehta,Arjun,C007;C008;C028;C031;C053;C054;C076;C078,0.95,{}
P004,PERSON,Asha Nair,asha nair,Asha,C017;C018;C038;C041;C063;C064,0.95,{}
P005,PERSON,Divya Reddy,divya reddy,Divya,C015;C016;C036;C039;C061;C062,0.95,{}
P006,PERSON,Harish Patel,harish patel,Harish,C024;C045;C048;C070;C071,0.95,{}
P007,PERSON,Kavya Sharma,kavya sharma,Kavya,C021;C022;C042;C045;C067;C068,0.95,{}
P008,PERSON,Kiran Reddy,kiran reddy,Kiran,C008;C009;C029;C032;C054;C055;C077;C079,0.95,{}
P009,PERSON,Lakshmi Rao,lakshmi rao,Lakshmi,C019;C020;C040;C043;C065;C066,0.95,{}
P010,PERSON,Manoj Kumar,manoj kumar,Manoj,C014;C015;C035;C038;C060;C061,0.95,{}
P011,PERSON,Meena Patel,meena patel,Meena,C011;C012;C032;C035;C057;C058;C080,0.95,{}
P012,PERSON,Neha Singh,neha singh,Neha,C006;C007;C027;C030;C052;C053;C075;C077,0.95,{}
P013,PERSON,Nikhil Kumar,nikhil kumar,Nikhil,C022;C023;C043;C046;C068;C069,0.95,{}
P014,PERSON,Pooja Sharma,pooja sharma,Pooja,C013;C014;C034;C037;C059;C060,0.95,{}
P015,PERSON,Priya Reddy,priya reddy,Priya,C003;C004;C005;C027;C048;C050;C051;C072;C075,0.95,{}
P016,PERSON,Rahul Verma,rahul verma,Rahul,C005;C006;C026;C029;C051;C052;C074;C076,0.95,{}
